Server running on 3000
[INFO] Metrics API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Containers API Called
[INFO] Logs API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
[INFO] Metrics API Called
[INFO] Containers API Called
[INFO] Jenkins API Called
[INFO] Logs API Called
